"seller,""day_of_week"",""income"""
AbrahamBennet,monday,231845241
AlbertRinger,monday,392378037
AnnDull,monday,39656842
AnneRinger,monday,53386960
BurtGringlesby,monday,118429815
CharleneLocksley,monday,108450662
CherylCarson,monday,77977656
DeanStraight,monday,192550177
DirkStringer,monday,759341454
HeatherMcBadden,monday,293014643
InnesdelCastillo,monday,260992756
JohnsonWhite,monday,98560781
LiviaKarsen,monday,132386625
MarjorieGreen,monday,97539868
MeanderSmith,monday,52160238
MichaelO'Leary,monday,138096277
MichelDeFrance,monday,479584920
MorningstarGreene,monday,67381290
ReginaldBlotchet-Halls,monday,103178571
SherylHunter,monday,153301531
StearnsMacFeather,monday,30778276
SylviaPanteley,monday,96399427
AbrahamBennet,tuesday,259058032
AlbertRinger,tuesday,419021705
AnnDull,tuesday,38097807
AnneRinger,tuesday,55417862
BurtGringlesby,tuesday,114454017
CharleneLocksley,tuesday,102419645
CherylCarson,tuesday,76905547
DeanStraight,tuesday,183459091
DirkStringer,tuesday,734550037
HeatherMcBadden,tuesday,267891418
InnesdelCastillo,tuesday,285473369
JohnsonWhite,tuesday,100275590
LiviaKarsen,tuesday,145696077
MarjorieGreen,tuesday,102488970
MeanderSmith,tuesday,63913954
MichaelO'Leary,tuesday,125258270
MichelDeFrance,tuesday,467420386
MorningstarGreene,tuesday,67737440
ReginaldBlotchet-Halls,tuesday,89298153
SherylHunter,tuesday,163754750
StearnsMacFeather,tuesday,31056505
SylviaPanteley,tuesday,99289901
AbrahamBennet,wednesday,214842815
AlbertRinger,wednesday,403718425
AnnDull,wednesday,35589006
AnneRinger,wednesday,46106241
BurtGringlesby,wednesday,119047498
CharleneLocksley,wednesday,106731411
CherylCarson,wednesday,66729906
DeanStraight,wednesday,168092851
DirkStringer,wednesday,642376642
HeatherMcBadden,wednesday,249479672
InnesdelCastillo,wednesday,245730067
JohnsonWhite,wednesday,89036568
LiviaKarsen,wednesday,156662691
MarjorieGreen,wednesday,94949352
MeanderSmith,wednesday,49655899
MichaelO'Leary,wednesday,134525040
MichelDeFrance,wednesday,439203900
MorningstarGreene,wednesday,64838804
ReginaldBlotchet-Halls,wednesday,80548671
SherylHunter,wednesday,140290965
StearnsMacFeather,wednesday,24953854
SylviaPanteley,wednesday,85876350
AbrahamBennet,thursday,226133920
AlbertRinger,thursday,405676715
AnnDull,thursday,36627441
AnneRinger,thursday,55678731
BurtGringlesby,thursday,103250742
CharleneLocksley,thursday,102081557
CherylCarson,thursday,70730736
DeanStraight,thursday,182913507
DirkStringer,thursday,693463720
HeatherMcBadden,thursday,289587875
InnesdelCastillo,thursday,247744631
JohnsonWhite,thursday,91715664
LiviaKarsen,thursday,168820566
MarjorieGreen,thursday,90204716
MeanderSmith,thursday,56688841
MichaelO'Leary,thursday,130193802
MichelDeFrance,thursday,481154816
MorningstarGreene,thursday,61407061
ReginaldBlotchet-Halls,thursday,89971577
SherylHunter,thursday,148434253
StearnsMacFeather,thursday,22585496
SylviaPanteley,thursday,91590683
AbrahamBennet,friday,233935361
AlbertRinger,friday,357492148
AnnDull,friday,37433122
AnneRinger,friday,51753352
BurtGringlesby,friday,109360163
CharleneLocksley,friday,97761374
CherylCarson,friday,80473505
DeanStraight,friday,176048824
DirkStringer,friday,672023523
HeatherMcBadden,friday,245868793
InnesdelCastillo,friday,231816497
JohnsonWhite,friday,91757929
LiviaKarsen,friday,172939429
MarjorieGreen,friday,99954936
MeanderSmith,friday,53551957
MichaelO'Leary,friday,142326764
MichelDeFrance,friday,473980678
MorningstarGreene,friday,62929144
ReginaldBlotchet-Halls,friday,96796981
SherylHunter,friday,158669557
StearnsMacFeather,friday,28022436
SylviaPanteley,friday,91390800
AbrahamBennet,saturday,219357051
AlbertRinger,saturday,359055422
AnnDull,saturday,37658782
AnneRinger,saturday,48579237
BurtGringlesby,saturday,108212068
CharleneLocksley,saturday,100507641
CherylCarson,saturday,69224918
DeanStraight,saturday,176094743
DirkStringer,saturday,724561952
HeatherMcBadden,saturday,260891531
InnesdelCastillo,saturday,245765313
JohnsonWhite,saturday,91955960
LiviaKarsen,saturday,142421334
MarjorieGreen,saturday,95303142
MeanderSmith,saturday,53094397
MichaelO'Leary,saturday,131118669
MichelDeFrance,saturday,480574641
MorningstarGreene,saturday,64598714
ReginaldBlotchet-Halls,saturday,92451664
SherylHunter,saturday,143802265
StearnsMacFeather,saturday,27623848
SylviaPanteley,saturday,87097890
AbrahamBennet,sunday,232328748
AlbertRinger,sunday,362985486
AnnDull,sunday,34138287
AnneRinger,sunday,49050828
BurtGringlesby,sunday,112782280
CharleneLocksley,sunday,93745116
CherylCarson,sunday,69553595
DeanStraight,sunday,176873005
DirkStringer,sunday,698820601
HeatherMcBadden,sunday,266458384
InnesdelCastillo,sunday,244679491
JohnsonWhite,sunday,88933984
LiviaKarsen,sunday,137975384
MarjorieGreen,sunday,104815534
MeanderSmith,sunday,56678279
MichaelO'Leary,sunday,125981634
MichelDeFrance,sunday,438321488
MorningstarGreene,sunday,68473053
ReginaldBlotchet-Halls,sunday,80496472
SherylHunter,sunday,148514539
StearnsMacFeather,sunday,27431434
SylviaPanteley,sunday,95337213
