"customer","sale_date","seller"
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Karen Huang,1992-09-21,Dirk Stringer
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Mario Rai,1992-09-21,Abraham Bennet
Mario Rai,1992-09-21,Abraham Bennet
Mario Rai,1992-09-21,Abraham Bennet
Olivia Bennett,1992-09-21,Michael O'Leary
Olivia Bennett,1992-09-21,Michael O'Leary
Richard Martinez,1992-09-21,Abraham Bennet
Richard Martinez,1992-09-21,Abraham Bennet
Tyrone Ruiz,1992-09-21,Marjorie Green
